,cardname,text,cmc,type
14,Catti-brie of Mithral Hall,"First strike, reach
Whenever Catti-brie of Mithral Hall attacks, put a +1/+1 counter on it for each Equipment attached to it.
{1}, Remove all +1/+1 counters from Catti-brie: It deals X damage to target attacking or blocking creature an opponent controls, where X is the number of counters removed this way.",2.0,Legendary Creature — Human Archer
15,Agent's Toolkit,"Agent's Toolkit enters the battlefield with a +1/+1 counter, a flying counter, a deathtouch counter, and a shield counter on it. (If it would be dealt damage or destroyed, remove a shield counter from it instead.)
Whenever a creature enters the battlefield under your control, you may move a counter from Agent's Toolkit onto that creature.
{2}, Sacrifice Agent's Toolkit: Draw a card.",3.0,Artifact — Clue
16,Quest for the Holy Relic,"Whenever you cast a creature spell, you may put a quest counter on Quest for the Holy Relic.
Remove five quest counters from Quest for the Holy Relic and sacrifice it: Search your library for an Equipment card, put it onto the battlefield, attach it to a creature you control, then shuffle.",1.0,Enchantment
17,Magmatic Core,"Cumulative upkeep {1} (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)
At the beginning of your end step, Magmatic Core deals X damage divided as you choose among any number of target creatures, where X is the number of age counters on it.",4.0,Enchantment
18,"Elmar, Ulvenwald Informant","Haste
Whenever you cast your second spell each turn, untap target creature, then investigate. (Create a colorless Clue artifact token with ""{2}, Sacrifice this artifact: Draw a card."")
Friends forever (You can have two commanders if both have friends forever.)",3.0,Legendary Creature — Human
19,"Meria, Scholar of Antiquity","Tap an untapped nontoken artifact you control: Add {G}.
Tap two untapped nontoken artifacts you control: Exile the top card of your library. You may play it this turn.",3.0,Legendary Creature — Elf Artificer
20,Merchant of Secrets,"When Merchant of Secrets enters the battlefield, draw a card.",3.0,Creature — Human Wizard
21,Dermotaxi,"Imprint — As Dermotaxi enters the battlefield, exile a creature card from a graveyard.
Tap two untapped creatures you control: Until end of turn, Dermotaxi becomes a copy of the exiled card, except it's a Vehicle artifact in addition to its other types.",2.0,Artifact — Vehicle
22,Oran-Rief Ooze,"When Oran-Rief Ooze enters the battlefield, put a +1/+1 counter on target creature you control.
Whenever Oran-Rief Ooze attacks, put a +1/+1 counter on each attacking creature with a +1/+1 counter on it.",3.0,Creature — Ooze
23,Dance of the Skywise,"Until end of turn, target creature you control becomes a blue Dragon Illusion with base power and toughness 4/4, loses all abilities, and gains flying.",2.0,Instant
24,Novijen Sages,"Graft 4 (This creature enters the battlefield with four +1/+1 counters on it. Whenever another creature enters the battlefield, you may move a +1/+1 counter from this creature onto it.)
{1}, Remove two +1/+1 counters from among creatures you control: Draw a card.",6.0,Creature — Human Advisor Mutant
25,Anointer of Champions,{T}: Target attacking creature gets +1/+1 until end of turn.,1.0,Creature — Human Cleric
26,Odylic Wraith,"Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.)
Whenever Odylic Wraith deals damage to a player, that player discards a card.",4.0,Creature — Wraith
27,Beastbond Outcaster,"When Beastbond Outcaster enters the battlefield, if you control a creature with power 4 or greater, draw a card.
Plot {1}{G} (You may pay {1}{G} and exile this card from your hand. Cast it as a sorcery on a later turn without paying its mana cost. Plot only as a sorcery.)",3.0,Creature — Human Druid
28,Tithe Drinker,"Lifelink (Damage dealt by this creature also causes you to gain that much life.)
Extort (Whenever you cast a spell, you may pay {W/B}. If you do, each opponent loses 1 life and you gain that much life.)",2.0,Creature — Vampire
29,Quick Study,Draw two cards.,3.0,Instant
30,Candlelit Cavalry,"Coven — At the beginning of combat on your turn, if you control three or more creatures with different powers, Candlelit Cavalry gains trample until end of turn.",5.0,Creature — Human Knight
31,Portent,"Look at the top three cards of target player's library, then put them back in any order. You may have that player shuffle.
Draw a card at the beginning of the next turn's upkeep.",1.0,Sorcery
32,Malakir Familiar,"Flying, deathtouch
Whenever you gain life, Malakir Familiar gets +1/+1 until end of turn.",3.0,Creature — Bat
33,Dark Privilege,"Enchant creature
Enchanted creature gets +1/+1.
Sacrifice a creature: Regenerate enchanted creature.",2.0,Enchantment — Aura
34,Wormfang Turtle,"When Wormfang Turtle enters the battlefield, exile a land you control.
When Wormfang Turtle leaves the battlefield, return the exiled card to the battlefield under its owner's control.",3.0,Creature — Nightmare Turtle Beast
35,Forsaken Sanctuary,"Forsaken Sanctuary enters the battlefield tapped.
{T}: Add {W} or {B}.",0.0,Land
36,Goblin Racketeer,"Whenever Goblin Racketeer attacks, you may goad target creature defending player controls. (Until your next turn, that creature attacks each combat if able and attacks a player other than you if able.)",4.0,Creature — Goblin Rogue
37,Bone Flute,"{2}, {T}: All creatures get -1/-0 until end of turn.",3.0,Artifact
38,Arachnus Spinner,"Reach
Tap an untapped Spider you control: Search your graveyard and/or library for a card named Arachnus Web and put it onto the battlefield attached to target creature. If you search your library this way, shuffle.",6.0,Creature — Spider
39,Tarmogoyf,Tarmogoyf's power is equal to the number of card types among cards in all graveyards and its toughness is equal to that number plus 1.,2.0,Creature — Lhurgoyf
40,Atrocious Experiment,"Target player mills two cards, draws two cards, and loses 2 life. (To mill a card, a player puts the top card of their library into their graveyard.)",3.0,Sorcery
41,Overgrown Arch,"Defender
{T}: You gain 1 life.
{2}, Sacrifice Overgrown Arch: Learn. (You may reveal a Lesson card you own from outside the game and put it into your hand, or discard a card to draw a card.)",2.0,Creature — Plant Wall
42,Master Thief,"When Master Thief enters the battlefield, gain control of target artifact for as long as you control Master Thief.",4.0,Creature — Human Rogue
43,Merrow Witsniper,"When Merrow Witsniper enters the battlefield, target player mills a card.",1.0,Creature — Merfolk Rogue
44,Oath of Teferi,"When Oath of Teferi enters the battlefield, exile another target permanent you control. Return it to the battlefield under its owner's control at the beginning of the next end step.
You may activate the loyalty abilities of planeswalkers you control twice each turn rather than only once.",5.0,Legendary Enchantment
45,Rakdos Augermage,"First strike
{T}: Reveal your hand and discard a card of target opponent's choice. Then that player reveals their hand and discards a card of your choice. Activate only as a sorcery.",3.0,Creature — Human Wizard
46,Dan Lewis,"Noncreature, non-Equipment artifacts you control are Equipment in addition to their other types and have ""Equipped creature gets +1/+0"" and equip {1}.
Doctor's companion (You can have two commanders if the other is the Doctor.)",2.0,Legendary Creature — Human
47,Immortal Phoenix,"Flying (This creature can't be blocked except by creatures with flying or reach.)
When Immortal Phoenix dies, return it to its owner's hand.",6.0,Creature — Phoenix
48,"Crovax, Ascendant Hero","Other white creatures get +1/+1.
Nonwhite creatures get -1/-1.
Pay 2 life: Return Crovax, Ascendant Hero to its owner's hand.",6.0,Legendary Creature — Human Noble
49,Arachnus Web,"Enchant creature
Enchanted creature can't attack or block, and its activated abilities can't be activated.
At the beginning of the end step, if enchanted creature's power is 4 or greater, destroy Arachnus Web.",3.0,Enchantment — Aura
50,Stratus Walk,"Enchant creature
When Stratus Walk enters the battlefield, draw a card.
Enchanted creature has flying. (It can't be blocked except by creatures with flying or reach.)
Enchanted creature can block only creatures with flying.",2.0,Enchantment — Aura
51,Guardians of Meletis,Defender (This creature can't attack.),3.0,Artifact Creature — Golem
52,Absolute Grace,All creatures have protection from black.,2.0,Enchantment
53,Chromeshell Crab,"Morph {4}{U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)
When Chromeshell Crab is turned face up, you may exchange control of target creature you control and target creature an opponent controls.",5.0,Creature — Crab Beast
54,Cave Sense,"Enchant creature
Enchanted creature gets +1/+1 and has mountainwalk. (It can't be blocked as long as defending player controls a Mountain.)",2.0,Enchantment — Aura
55,"Mikaeus, the Lunarch","Mikaeus, the Lunarch enters the battlefield with X +1/+1 counters on it.
{T}: Put a +1/+1 counter on Mikaeus.
{T}, Remove a +1/+1 counter from Mikaeus: Put a +1/+1 counter on each other creature you control.",1.0,Legendary Creature — Human Cleric
56,Rhox Veteran,"Battle cry (Whenever this creature attacks, each other attacking creature gets +1/+0 until end of turn.)
Whenever Rhox Veteran attacks, tap target creature an opponent controls.",4.0,Creature — Rhino Soldier
57,Gate Hound,Creatures you control have vigilance as long as Gate Hound is enchanted.,3.0,Creature — Dog
58,Lost Hours,Target player reveals their hand. You choose a nonland card from it. That player puts that card into their library third from the top.,2.0,Sorcery
59,Captivating Unicorn,"Constellation — Whenever an enchantment enters the battlefield under your control, tap target creature an opponent controls.",5.0,Creature — Unicorn
60,Necrotic Wound,"Undergrowth — Target creature gets -X/-X until end of turn, where X is the number of creature cards in your graveyard. If that creature would die this turn, exile it instead.",1.0,Instant
61,Lumberknot,"Hexproof (This creature can't be the target of spells or abilities your opponents control.)
Whenever a creature dies, put a +1/+1 counter on Lumberknot.",4.0,Creature — Treefolk
62,Angelic Sleuth,"Flying
Whenever another permanent you control leaves the battlefield, if it had counters on it, investigate. (Create a colorless Clue artifact token with ""{2}, Sacrifice this artifact: Draw a card."")",3.0,Creature — Angel Advisor
63,Make Disappear,"Casualty 1 (As you cast this spell, you may sacrifice a creature with power 1 or greater. When you do, copy this spell and you may choose a new target for the copy.)
Counter target spell unless its controller pays {2}.",2.0,Instant
64,Poisonbelly Ogre,"Whenever another creature enters the battlefield, its controller loses 1 life.",5.0,Creature — Ogre Warrior
65,Arashin Sovereign,"Flying
When Arashin Sovereign dies, you may put it on the top or bottom of its owner's library.",7.0,Creature — Dragon
66,Akoum Firebird,"Flying, haste
Akoum Firebird attacks each combat if able.
Landfall — Whenever a land enters the battlefield under your control, you may pay {4}{R}{R}. If you do, return Akoum Firebird from your graveyard to the battlefield.",4.0,Creature — Phoenix
67,Gnarled Scarhide,"Bestow {3}{B} (If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.)
Gnarled Scarhide can't block.
Enchanted creature gets +2/+1 and can't block.",1.0,Enchantment Creature — Minotaur
68,Armored Skaab,"When Armored Skaab enters the battlefield, mill four cards.",3.0,Creature — Zombie Warrior
69,Journeyer's Kite,"{3}, {T}: Search your library for a basic land card, reveal it, put it into your hand, then shuffle.",2.0,Artifact
70,Scour the Laboratory,"Delirium — This spell costs {2} less to cast if there are four or more card types among cards in your graveyard.
Draw three cards.",6.0,Instant
71,Cleansing Meditation,"Destroy all enchantments.
Threshold — If seven or more cards are in your graveyard, instead destroy all enchantments, then return all cards in your graveyard destroyed this way to the battlefield.",3.0,Sorcery
72,Crystal Slipper,"Equipped creature gets +1/+0 and has haste.
Equip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)",2.0,Artifact — Equipment
73,Bojuka Bog,"Bojuka Bog enters the battlefield tapped.
When Bojuka Bog enters the battlefield, exile target player's graveyard.
{T}: Add {B}.",0.0,Land
74,Guiding Voice,"Put a +1/+1 counter on target creature.
Learn. (You may reveal a Lesson card you own from outside the game and put it into your hand, or discard a card to draw a card.)",1.0,Sorcery
75,Hampering Snare,"Creatures your opponents control get -2/-0 until end of turn.
Cycling {2} ({2}, Discard this card: Draw a card.)",2.0,Instant
76,War Report,You gain life equal to the number of creatures on the battlefield plus the number of artifacts on the battlefield.,4.0,Instant
77,Tornado Elemental,"When Tornado Elemental enters the battlefield, it deals 6 damage to each creature with flying.
You may have Tornado Elemental assign its combat damage as though it weren't blocked.",7.0,Creature — Elemental
78,Mardu Banner,"{T}: Add {R}, {W}, or {B}.
{R}{W}{B}, {T}, Sacrifice Mardu Banner: Draw a card.",3.0,Artifact
79,Charity Extractor,Lifelink,4.0,Creature — Human Knight
80,Sigiled Behemoth,"Exalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)",6.0,Creature — Beast
81,Guardian Gladewalker,"Changeling (This card is every creature type.)
When Guardian Gladewalker enters the battlefield, put a +1/+1 counter on target creature.",2.0,Creature — Shapeshifter
82,Kithkin Billyrider,Double strike,3.0,Creature — Kithkin Knight
83,Ley Weaver,"Partner with Lore Weaver (When this creature enters the battlefield, target player may put Lore Weaver into their hand from their library, then shuffle.)
{T}: Untap two target lands.",4.0,Creature — Human Druid
84,Kaboom!,"Choose any number of target players or planeswalkers. For each of them, reveal cards from the top of your library until you reveal a nonland card, Kaboom! deals damage equal to that card's mana value to that player or planeswalker, then you put the revealed cards on the bottom of your library in any order.",5.0,Sorcery
85,Ajani's Mantra,"At the beginning of your upkeep, you may gain 1 life.",2.0,Enchantment
86,Lord Windgrace,"+2: Discard a card, then draw a card. If a land card is discarded this way, draw an additional card.
−3: Return up to two target land cards from your graveyard to the battlefield.
−11: Destroy up to six target nonland permanents, then create six 2/2 green Cat Warrior creature tokens with forestwalk.
Lord Windgrace can be your commander.",5.0,Legendary Planeswalker — Windgrace
87,Fierce Witchstalker,"Trample
When Fierce Witchstalker enters the battlefield, create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this artifact: You gain 3 life."")",4.0,Creature — Wolf
88,Animate Land,"Until end of turn, target land becomes a 3/3 creature that's still a land.",1.0,Instant
89,Howl of the Hunt,"Flash
Enchant creature
When Howl of the Hunt enters the battlefield, if enchanted creature is a Wolf or Werewolf, untap that creature.
Enchanted creature gets +2/+2 and has vigilance.",3.0,Enchantment — Aura
90,Brambleweft Behemoth,Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.),6.0,Creature — Elemental
91,"Aragorn, the Uniter","Whenever you cast a white spell, create a 1/1 white Human Soldier creature token.
Whenever you cast a blue spell, scry 2.
Whenever you cast a red spell, Aragorn, the Uniter deals 3 damage to target opponent.
Whenever you cast a green spell, target creature gets +4/+4 until end of turn.",4.0,Legendary Creature — Human Noble
92,"Jace, Architect of Thought","+1: Until your next turn, whenever a creature an opponent controls attacks, it gets -1/-0 until end of turn.
−2: Reveal the top three cards of your library. An opponent separates those cards into two piles. Put one pile into your hand and the other on the bottom of your library in any order.
−8: For each player, search that player's library for a nonland card and exile it, then that player shuffles. You may cast those cards without paying their mana costs.",4.0,Legendary Planeswalker — Jace
93,Nylea's Presence,"Enchant land
When Nylea's Presence enters the battlefield, draw a card.
Enchanted land is every basic land type in addition to its other types.",2.0,Enchantment — Aura
94,Godtracker of Jund,"Whenever a creature with power 5 or greater enters the battlefield under your control, you may put a +1/+1 counter on Godtracker of Jund.",3.0,Creature — Elf Shaman
95,Pincher Beetles,Shroud (This creature can't be the target of spells or abilities.),3.0,Creature — Insect
96,Two-Headed Dragon,"Flying
Menace (This creature can't be blocked except by two or more creatures.)
Two-Headed Dragon can block an additional creature each combat.
{1}{R}: Two-Headed Dragon gets +2/+0 until end of turn.",6.0,Creature — Dragon
97,Sea Sprite,"Flying, protection from red",2.0,Creature — Faerie
98,Mass Hysteria,All creatures have haste.,1.0,Enchantment
99,Dance of Many,"When Dance of Many enters the battlefield, create a token that's a copy of target nontoken creature.
When Dance of Many leaves the battlefield, exile the token.
When the token leaves the battlefield, sacrifice Dance of Many.
At the beginning of your upkeep, sacrifice Dance of Many unless you pay {U}{U}.",2.0,Enchantment
100,Spitebellows,"When Spitebellows leaves the battlefield, it deals 6 damage to target creature.
Evoke {1}{R}{R} (You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters the battlefield.)",6.0,Creature — Elemental
101,Evil Twin,"You may have Evil Twin enter the battlefield as a copy of any creature on the battlefield, except it has ""{U}{B}, {T}: Destroy target creature with the same name as this creature.""",4.0,Creature — Shapeshifter
102,Mystic Denial,Counter target creature or sorcery spell.,3.0,Instant
103,Hungering Hydra,"Hungering Hydra enters the battlefield with X +1/+1 counters on it.
Hungering Hydra can't be blocked by more than one creature.
Whenever Hungering Hydra is dealt damage, put that many +1/+1 counters on it. (It must survive the damage to get the counters.)",1.0,Creature — Hydra
104,Invasion of New Capenna // Holy Frazzle-Cannon,None,2.0,Battle — Siege // Artifact — Equipment
105,Admiral's Order,"Raid — If you attacked this turn, you may pay {U} rather than pay this spell's mana cost.
Counter target spell.",3.0,Instant
106,Scour,"Exile target enchantment. Search its controller's graveyard, hand, and library for all cards with the same name as that enchantment and exile them. Then that player shuffles.",4.0,Instant
107,Mountain Stronghold,"Red legendary creatures you control have ""bands with other legendary creatures."" (Any legendary creatures can attack in a band as long as at least one has ""bands with other legendary creatures."" Bands are blocked as a group. If at least two legendary creatures you control, one of which has ""bands with other legendary creatures,"" are blocking or being blocked by the same creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)",0.0,Land
108,Skullmead Cauldron,"{T}: You gain 1 life.
{T}, Discard a card: You gain 3 life.",4.0,Artifact
109,Headless Rider,"Whenever Headless Rider or another nontoken Zombie you control dies, create a 2/2 black Zombie creature token.",3.0,Creature — Zombie
110,Selesnya Evangel,"{1}, {T}, Tap an untapped creature you control: Create a 1/1 green Saproling creature token.",2.0,Creature — Elf Shaman
111,Adult Gold Dragon,"Flying, lifelink, haste",5.0,Creature — Dragon
112,"Lord Skitter, Sewer King","Whenever another Rat enters the battlefield under your control, exile up to one target card from an opponent's graveyard.
At the beginning of combat on your turn, create a 1/1 black Rat creature token with ""This creature can't block.""",3.0,Legendary Creature — Rat Noble
113,Mage il-Vec,"{T}, Discard a card at random: Mage il-Vec deals 1 damage to any target.",3.0,Creature — Human Wizard
114,Godo's Irregulars,{R}: Godo's Irregulars deals 1 damage to target creature blocking it.,1.0,Creature — Human Warrior
115,Festergloom,Nonblack creatures get -1/-1 until end of turn.,3.0,Sorcery
116,Dragon Arch,"{2}, {T}: You may put a multicolored creature card from your hand onto the battlefield.",5.0,Artifact
117,Flooded Shoreline,"{U}{U}, Return two Islands you control to their owner's hand: Return target creature to its owner's hand.",2.0,Enchantment
118,Minotaur Aggressor,"First strike, haste",7.0,Creature — Minotaur Berserker
119,Ubul Sar Gatekeepers,"When Ubul Sar Gatekeepers enters the battlefield, if you control two or more Gates, target creature an opponent controls gets -2/-2 until end of turn.",4.0,Creature — Zombie Soldier
120,"Inalla, Archmage Ritualist","Eminence — Whenever another nontoken Wizard enters the battlefield under your control, if Inalla, Archmage Ritualist is in the command zone or on the battlefield, you may pay {1}. If you do, create a token that's a copy of that Wizard. The token gains haste. Exile it at the beginning of the next end step.
Tap five untapped Wizards you control: Target player loses 7 life.",5.0,Legendary Creature — Human Wizard
121,Live Fast,"You draw two cards, lose 2 life, and get {E}{E} (two energy counters).",3.0,Sorcery
122,Glimpse the Future,Look at the top three cards of your library. Put one of them into your hand and the rest into your graveyard.,3.0,Sorcery
123,Spirit of the Hearth,"Flying
You have hexproof. (You can't be the target of spells or abilities your opponents control.)",6.0,Creature — Cat Spirit
124,Enlightened Tutor,"Search your library for an artifact or enchantment card, reveal it, then shuffle and put that card on top.",1.0,Instant
125,Sharpened Pitchfork,"Equipped creature has first strike.
As long as equipped creature is a Human, it gets +1/+1.
Equip {1}",2.0,Artifact — Equipment
126,Cursed Totem,Activated abilities of creatures can't be activated.,2.0,Artifact
127,"Nissa, Steward of Elements","+2: Scry 2.
0: Look at the top card of your library. If it's a land card or a creature card with mana value less than or equal to the number of loyalty counters on Nissa, Steward of Elements, you may put that card onto the battlefield.
−6: Untap up to two target lands you control. They become 5/5 Elemental creatures with flying and haste until end of turn. They're still lands.",2.0,Legendary Planeswalker — Nissa
128,Patchwork Gnomes,"Discard a card: Regenerate Patchwork Gnomes. (The next time this creature would be destroyed, instead tap it, remove it from combat, and heal all damage on it.)",3.0,Artifact Creature — Gnome
129,Nevermaker,"Flying
When Nevermaker leaves the battlefield, put target nonland permanent on top of its owner's library.
Evoke {3}{U} (You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters the battlefield.)",4.0,Creature — Elemental
130,Soulquake,Return all creatures on the battlefield and all creature cards in graveyards to their owners' hands.,7.0,Sorcery
131,"Strefan, Maurer Progenitor","Flying
At the beginning of your end step, create a Blood token for each player who lost life this turn.
Whenever Strefan attacks, you may sacrifice two Blood tokens. If you do, you may put a Vampire card from your hand onto the battlefield tapped and attacking. It gains indestructible until end of turn.",4.0,Legendary Creature — Vampire Noble
132,Rakdos Ringleader,"First strike
Whenever Rakdos Ringleader deals combat damage to a player, that player discards a card at random.
{B}: Regenerate Rakdos Ringleader.",6.0,Creature — Skeleton Warrior
133,Elenda's Hierophant,"Flying
Whenever you gain life, put a +1/+1 counter on Elenda's Hierophant.
When Elenda's Hierophant dies, create X 1/1 white Vampire creature tokens with lifelink, where X is its power.",3.0,Creature — Vampire Cleric
134,Soul Reap,Destroy target nongreen creature. Its controller loses 3 life if you've cast another black spell this turn.,2.0,Sorcery
135,Daemogoth Woe-Eater,"At the beginning of your upkeep, sacrifice a creature.
When you sacrifice Daemogoth Woe-Eater, each opponent discards a card, you draw a card, and you gain 2 life.",4.0,Creature — Demon
136,Raiders' Spoils,"Creatures you control get +1/+0.
Whenever a Warrior you control deals combat damage to a player, you may pay 1 life. If you do, draw a card.",4.0,Enchantment
137,Executioner's Swing,Target creature that dealt damage this turn gets -5/-5 until end of turn.,2.0,Instant
138,Armageddon Clock,"At the beginning of your upkeep, put a doom counter on Armageddon Clock.
At the beginning of your draw step, Armageddon Clock deals damage equal to the number of doom counters on it to each player.
{4}: Remove a doom counter from Armageddon Clock. Any player may activate this ability but only during any upkeep step.",6.0,Artifact
139,Wake of Destruction,Destroy target land and all other lands with the same name as that land.,6.0,Sorcery
140,Herald of the Host,"Flying, vigilance
Myriad (Whenever this creature attacks, for each opponent other than defending player, you may create a token that's a copy of this creature that's tapped and attacking that player or a planeswalker they control. Exile the tokens at end of combat.)",5.0,Creature — Angel
141,Fabrication Module,"Whenever you get one or more {E} (energy counters), put a +1/+1 counter on target creature you control.
{4}, {T}: You get {E}.",3.0,Artifact
142,Hunter's Prowess,"Until end of turn, target creature gets +3/+3 and gains trample and ""Whenever this creature deals combat damage to a player, draw that many cards.""",5.0,Sorcery
143,Pixie Illusionist,"Kicker {3}{G} (You may pay an additional {3}{G} as you cast this spell.)
Flying
If Pixie Illusionist was kicked, it enters the battlefield with two +1/+1 counters on it.
{T}: Target land you control becomes the basic land type of your choice until end of turn.",1.0,Creature — Faerie Wizard
144,Giant Slug,"{5}: At the beginning of your next upkeep, choose a basic land type. Giant Slug gains landwalk of the chosen type until the end of that turn. (It can't be blocked as long as defending player controls a land of that type.)",2.0,Creature — Slug
145,Funeral March,"Enchant creature
When enchanted creature leaves the battlefield, its controller sacrifices a creature.",3.0,Enchantment — Aura
146,Abbey Griffin,"Flying, vigilance",4.0,Creature — Griffin
147,Aether Rift,"At the beginning of your upkeep, discard a card at random. If you discard a creature card this way, return it from your graveyard to the battlefield unless any player pays 5 life.",3.0,Enchantment
148,Cryptolith Fragment // Aurora of Emrakul,None,3.0,Artifact // Creature — Eldrazi Reflection
149,"Ghyrson Starn, Kelermorph","Ward {2} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {2}.)
Three Autostubs — Whenever another source you control deals exactly 1 damage to a permanent or player, Ghyrson Starn, Kelermorph deals 2 damage to that permanent or player.",3.0,Legendary Creature — Tyranid Human
150,Kindled Fury,Target creature gets +1/+0 and gains first strike until end of turn.,1.0,Instant
151,Lash of Malice,Target creature gets +2/-2 until end of turn.,1.0,Instant
152,Dread Cacodemon,"When Dread Cacodemon enters the battlefield, if you cast it from your hand, destroy all creatures your opponents control, then tap all other creatures you control.",10.0,Creature — Demon
153,Dauntless Aven,"Flying
Whenever Dauntless Aven attacks, untap target creature you control.",3.0,Creature — Bird Warrior
154,Anguished Unmaking,Exile target nonland permanent. You lose 3 life.,3.0,Instant
155,Explosive Entry,Destroy up to one target artifact. Put a +1/+1 counter on up to one target creature.,2.0,Sorcery
156,Geth's Grimoire,"Whenever an opponent discards a card, you may draw a card.",4.0,Artifact
157,Ghoulflesh,"Enchant creature
Enchanted creature gets -1/-1 and is a black Zombie in addition to its other colors and types.",1.0,Enchantment — Aura
158,Hallowed Burial,Put all creatures on the bottom of their owners' libraries.,5.0,Sorcery
159,Fathom Fleet Firebrand,{1}{R}: Fathom Fleet Firebrand gets +1/+0 until end of turn.,2.0,Creature — Human Pirate
160,Riftwing Cloudskate,"Flying
When Riftwing Cloudskate enters the battlefield, return target permanent to its owner's hand.
Suspend 3—{1}{U} (Rather than cast this card from your hand, you may pay {1}{U} and exile it with three time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, you may cast it without paying its mana cost. It has haste.)",5.0,Creature — Illusion
161,Fated Infatuation,"Create a token that's a copy of target creature you control. If it's your turn, scry 2. (Look at the top two cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)",3.0,Instant
162,"Kraum, Violent Cacophony","Flying
Whenever you cast your second spell each turn, put a +1/+1 counter on Kraum, Violent Cacophony and draw a card.",4.0,Legendary Creature — Zombie Horror
163,Vithian Stinger,"{T}: Vithian Stinger deals 1 damage to any target.
Unearth {1}{R} ({1}{R}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)",3.0,Creature — Human Shaman
164,Greater Mossdog,"Dredge 3 (If you would draw a card, you may mill three cards instead. If you do, return this card from your graveyard to your hand.)",4.0,Creature — Plant Dog
165,Muraganda Petroglyphs,Creatures with no abilities get +2/+2.,4.0,Enchantment
166,Hoverguard Observer,"Flying
Hoverguard Observer can block only creatures with flying.",4.0,Creature — Drone
167,Eye for an Eye,"The next time a source of your choice would deal damage to you this turn, instead that source deals that much damage to you and Eye for an Eye deals that much damage to that source's controller.",2.0,Instant
168,Oxidda Golem,"Affinity for Mountains (This spell costs {1} less to cast for each Mountain you control.)
Haste",6.0,Artifact Creature — Golem
169,Harvest Gwyllion,Wither (This deals damage to creatures in the form of -1/-1 counters.),4.0,Creature — Hag
170,"Kentaro, the Smiling Cat","Bushido 1 (Whenever this creature blocks or becomes blocked, it gets +1/+1 until end of turn.)
You may pay {X} rather than pay the mana cost for Samurai spells you cast, where X is that spell's mana value.",2.0,Legendary Creature — Human Samurai
171,Crystal Rod,"Whenever a player casts a blue spell, you may pay {1}. If you do, you gain 1 life.",1.0,Artifact
